UnitPrice,RefUnitPrice,GapRate,GapRateSqrt,MinArea,MinTotal,NoOfApts,Ratio,PoolSize,Transportation,MiscFactor,Multiplier
75000,100000,0.333333333,0.577350269,90,675,508,2,1016,1,0,0.14
72000,100000,0.388888889,0.623609564,112,806.4,152,2,304,1,0,0.19
127000,170000,0.338582677,0.581878576,73,927.1,106,2.5,265,1,1,0.23
70000,70000,0,0,55,385,59,2,118,1,1,0.13
68000,95000,0.397058824,0.630126038,80,544,555,2,1110,1,1,0.15
127875,200000,0.56402737,0.751017557,110,1406.625,289,2,578,1,0,0.2
101600,110000,0.082677165,0.287536372,93,944.88,263,2,526,1,1,0.15
122500,155000,0.265306122,0.515078754,113,1384.25,133,2.5,332.5,1,0,0.19
119800,165000,0.377295492,0.614243838,91,1090.18,609,2.5,1522.5,1,0,0.24
65079,80000,0.229275189,0.478826888,95,618.2505,528,1.3,686.4,0,0,0.13
48200,57500,0.192946058,0.439256256,90,433.8,636,1.8,1144.8,1,0,0.1
40000,52000,0.3,0.547722558,97,388,238,1.3,309.4,1,0,0.1
47000,58000,0.234042553,0.483779447,56,263.2,360,1.3,468,0,0,0.11
48000,55000,0.145833333,0.381881308,75,360,424,1.3,551.2,0,1,0.11
42000,55000,0.30952381,0.55634864,147,617.4,132,1.8,237.6,0,0,0.14
51071,51071,0,0,95,485.1745,546,1.3,709.8,0,1,0.12
