Name,UnitPrice,RefUnitPrice,GapRate,GapRateSqrt,MinArea,MinTotal,NoOfApts,Ratio,PoolSize,Transportation,MiscFactor,Multiplier,RawScore,Month50Base
绿地海珀外滩,142500,160000,0.122807018,0.350438322,184,2622,145,2.5,362.5,1,0,0.24,0,0
保利天汇,109900,140000,0.27388535,0.523340568,98,1077.02,308,2.5,770,1,0,0.16,68.8,117.5
中企云萃江湾,97000,120000,0.237113402,0.486942915,81,785.7,334,2,668,1,0,0.15,63.9,92.66666667
仁恒海上源,115000,150000,0.304347826,0.551677284,80,920,299,2.5,747.5,1,1,0.21,50.68,3.238095238
益民小区,97370,100000,0.027010373,0.164348328,84,817.908,119,2,238,1,1,0.15,0,0
新湖明珠城,105200,115000,0.093155894,0.305214504,136,1430.72,173,2.5,432.5,1,0,0.23,58.51,37
苏河望,101600,110000,0.082677165,0.287536372,96,975.36,323,2,646,1,1,0.15,0,0
招商外滩玺,122500,150000,0.224489796,0.473803541,84,1029,309,2.5,772.5,1,1,0.19,60.21,53.73684211
中粮瑞虹海景壹号,115000,160000,0.391304348,0.625543242,135,1552.5,217,2.5,542.5,1,0,0.24,88.18,159.0833333
鑫耀中城,104500,130000,0.244019139,0.493982934,100,1045,328,2,656,1,1,0.17,69.21,113
新湖上海青蓝,114800,120000,0.045296167,0.212828962,97,1113.56,255,2.5,637.5,1,1,0.21,50.6,2.857142857
安康苑,128800,150000,0.164596273,0.405704663,151,1944.88,309,2.5,772.5,1,0,0.23,0,0
融创未来金融城,68000,68000,0,0,101,686.8,272,1.8,489.6,1,1,0.13,52.99,23
九庐三期,135000,180000,0.333333333,0.577350269,88,1188,152,2.5,380,1,0,0.22,98.4,220
保利云上1拾光,46322,46322,0,0,75,347.415,780,1.3,1014,0,0,0.1,0,0
晶鸿名邸,102000,160000,0.568627451,0.754073903,93,948.6,202,2,404,1,0,0.17,97.23,220
东方惠雅,102000,160000,0.568627451,0.754073903,77,785.4,384,2,768,1,0,0.14,87.44,220
浦发东悦城三期,42000,42000,0,0,71,298.2,360,1.8,648,1,0,0.1,71.2,212
碧云尊邸,111983,150000,0.33948903,0.582656871,164,1836.5212,173,2,346,1,0,0.24,92.24,176
华府天地,61000,61000,0,0,98,597.8,192,1.3,249.6,0,1,0.15,50,0
上海桃花源,147000,147000,0,0,159,2337.3,188,1.3,244.4,0,1,0.1,0,0
当代艺墅三期,99980,99980,0,0,221,2209.558,40,13,520,0,1,0.1,0,0
华发四季半岛,64000,64000,0,0,90,576,274,1.3,356.2,1,1,0.12,62.28,102.3333333
金地丰盛道,53785,53785,0,0,87,467.9295,414,1.3,538.2,0,0,0.11,0,0
中海阅麓山,49086,49086,0,0,70,343.602,226,1.3,293.8,0,0,0.1,0,0
荣景苑,40800,40800,0,0,68,277.44,75,1.3,97.5,0,0,0.1,0,0
金地虹悦湾,61000,75000,0.229508197,0.479070138,94,573.4,64,1.8,115.2,1,0,0.11,74.08,218.9090909
大名城映湖,39592,39592,0,0,89,352.3688,238,1.3,309.4,0,1,0.1,0,0
璟云里,38757,38757,0,0,120,465.084,176,1.3,228.8,0,1,0.1,0,0
大华锦绣四季,51988,51988,0,0,99,514.6812,322,1.3,418.6,0,0,0.1,37.3,0
中企光华雅境,47500,47500,0,0,90,427.5,324,1.3,421.2,0,0,0.1,55.2,52
大华悦庭,57608,57608,0,0,97,558.7976,126,2,252,1,1,0.11,60.01,91
万科西郊都会,44464,44464,0,0,113,502.4432,214,1.8,385.2,0,1,0.1,42.21,0
奥园金地格林云尚,35471,35471,0,0,60,212.826,208,1.8,374.4,0,0,0.1,56.3,63
南山虹桥领奉,57525,57525,0,0,70,402.675,350,1.8,630,1,0,0.11,60.56,96
金地峯范,44500,44500,0,0,74,329.3,287,1.3,373.1,0,0,0.13,60,76.92307692
国欣颐养1中澳城,39550,39550,0,0,97,383.635,273,1.3,354.9,0,1,0.1,41.8,0
阳光城未来悦,35799,35799,0,0,72,257.7528,262,1.3,340.6,0,0,0.1,57.2,72
保利明月湖光,40000,40000,0,0,96,384,275,1.3,357.5,1,0,0.1,71.1,211
银河丽湾,37075,37075,0,0,297,1101.1275,49,1.3,63.7,1,0,0.16,0,0
宝业青春里,29181,29181,0,0,76,221.7756,210,1.3,273,0,1,0.1,0,0
悦澜雅苑,38000,38000,0,0,96,364.8,208,1.3,270.4,0,1,0.1,0,0
奉发宝龙广场,25727,25727,0,0,77,198.0979,422,1.3,548.6,0,1,0.1,0,0
云湖壹号,21179,21179,0,0,76,160.9604,408,1.3,530.4,0,1,0.1,0,0
光明府,27000,27000,0,0,90,243,354,1.3,460.2,0,1,0.1,0,0
华发招商依云四季,21104,21104,0,0,61,128.7344,260,1.3,338,0,1,0.1,0,0
上实和风院,31196,31196,0,0,80,249.568,262,1.3,340.6,0,1,0.1,0,0
十里江湾,28914,28914,0,0,70,202.398,304,1.3,395.2,0,1,0.1,0,0
路劲象屿岛上的院子,34518,34518,0,0,78,269.2404,454,1.3,590.2,0,1,0.1,0,0
中建玖里书香,28690,28690,0,0,86,246.734,356,1.3,462.8,0,1,0.1,0,0
馨湖翠苑,33200,33200,0,0,77,255.64,304,1.3,395.2,0,1,0.1,0,0
特发学府里,32118,32118,0,0,79,253.7322,532,1.3,691.6,0,1,0.1,0,0
大名城映园,23976,23976,0,0,94,225.3744,234,1.3,304.2,0,1,0.1,0,0
万科天空之城,58600,80000,0.365187713,0.604307631,98,574.28,152,1.8,273.6,1,0,0.11,82.88,220
