区域,板块,项目名称,套数,开盘时间,单价,套均总价,户型,类别,社保系数,是否触发积分,入围积分,标准化积分,坐标
嘉定,江桥,保利云上澄光,232,6/18/2021,56000,,,,0.11,触发,66.28,64.8,"121.310222,31.268965"
嘉定,安亭,中骏璟尚,184,6/8/2021,37000,,,,0.1,触发,60.5,60.5,"121.161699,31.285837"
嘉定,江桥,南山虹桥领峯,,7/13/2021,57500,,,,0.11,触发,58.36,57.6,"121.31576,31.267595"
嘉定,南翔,融信海纳印象,340,7/20/2021,59000,,,,0.11,触发,52.09,51.9,"121.307735,31.301541"
嘉定,菊园新区,金地峯范,326,5/30/2021,46500,,,,0.1,触发,51.9,51.9,"121.228507,31.392958"
嘉定,安亭,万科西郊都会,363,6/10/2021,39800,,,,0.1,触发,47,47,"121.195717,31.272131"
嘉定,菊园新区,金地峯范,503,7/11/2021,46500,,,,0.1,触发,43.4,43.4,"121.228507,31.392958"
嘉定,南翔,融信海纳印象,360,4/30/2021,59000,,,,0.1,触发,40.9,40.9,"121.307735,31.301541"
嘉定,新城,金地嘉悦湾,336,7/14/2021,43706,,,,0.1,未触发,30.5,30.5,"121.286512,31.372986"
嘉定,菊园新区,路劲悦茂府,304,4/28/2021,44500,,,,0.1,未触发,0,0,"121.229953,31.375481"
嘉定,安亭,万科·莱茵半岛,242,4/23/2021,42000,,,,0.1,未触发,0,0,"121.181645,31.267858"
嘉定,南翔,云湖漫城,377,5/28/2021,57800,,,,0.11,未触发,0,4.545454545,"121.292315,31.306511"
嘉定,嘉定新城,嘉宝梦之春,367,6/9/2021,48100,,,,0.11,未触发,0,4.545454545,"121.260132,31.377081"
奉贤,南桥,金海壹品,363,10/11/2021,40000,,,,0.1,触发,72.8,72.8,"121.497138,30.916609"
奉贤,南桥,保利明玥霞光,275,,40000,,,,0.1,触发,71.1,71.1,"121.5014,30.920373"
奉贤,南桥,保利明玥湖光,474,10/19/2021,40000,,,,0.1,触发,68.5,68.5,"121.502207,30.923297"
奉贤,肖塘,阳光城未来悦,262,,35800,,,,0.1,触发,57.2,57.2,"121.436379,30.95948"
奉贤,肖塘,阳光城未来悦,337,6/4/2021,35800,,,,0.1,触发,50,50,"121.436379,30.95948"
奉贤,南桥,银河丽湾,49,,37100,,,,0.16,触发,44.84,46.775,"121.493352,30.917069"
奉贤,南桥,国欣颐养·中澳城,273,,39600,,,,,触发,41.8,#DIV/0!,"121.475393,30.924004"
奉贤,奉贤新城,山金中澳城,273,,39500,,,,0.1,触发,41.48,41.48,"121.475393,30.924004"
奉贤,南桥,融信·海月四季,316,4/14/2021,38330,,,,0.1,未触发,0,0,"121.51607,30.92473"
奉贤,南桥,融信·海月四季,161,,43500,,,,,未触发,0,#DIV/0!,"121.51607,30.92473"
奉贤,肖塘,阳光城未来悦,357,,35800,,,,0.1,未触发,0,0,"121.436379,30.95948"
奉贤,金汇,龙湖春江天玺,288,,45500,,,,0.11,未触发,0,4.545454545,"121.512227,30.971507"
奉贤,金汇,南桥金茂悦,245,5/27/2021,43300,,,,0.11,未触发,0,4.545454545,"121.503122,30.961665"
奉贤,奉贤新城,光明九胤,64,6/8/2021,36900,,,,0.1,未触发,0,0,"121.488437,30.95789"
奉贤,青村,阳光城青溪水岸,210,6/5/2021,29000,,,,0.1,未触发,0,0,"121.589205,30.928827"
奉贤,四团,奉发宝龙广场,367,6/23/2021,24900,,,,0.1,未触发,0,0,"121.732595,30.933689"
奉贤,四团,奉发宝龙广场,422,,25900,,,,,未触发,0,#DIV/0!,"121.732595,30.933689"
奉贤,青村,宝业青春里,210,,29200,,,,,未触发,0,#DIV/0!,"121.59908,30.929949"
奉贤,奉城,大家·美颂,401,,27000,,,,,未触发,0,#DIV/0!,"121.662706,30.909721"
奉贤,奉城,大家·美颂,369,,26800,,,,,未触发,0,#DIV/0!,"121.662706,30.909721"
奉贤,南桥,光语著,192,,32800,,,,,未触发,0,#DIV/0!,"121.505708,30.898392"
奉贤,南桥,绿地铂晶舍,124,,42300,,,,,未触发,0,#DIV/0!,"121.466851,30.872995"
奉贤,南桥,正阳·铂璟湾,527,,39000,,,,,未触发,0,#DIV/0!,"121.475091,30.908286"
奉贤,南桥,正阳·铂璟湾,80,,48800,,,,,未触发,0,#DIV/0!,"121.475091,30.908286"
奉贤,奉城,中海戈雅园,324,,27500,,,,,未触发,0,#DIV/0!,"121.666789,30.915387"
奉贤,金汇,天和尚上海,100,11/3/2021,49000,,,,0.11,未触发,0,4.545454545,"121.556464,30.975607"
奉贤,金汇,禹洲雍锦府,303,,31900,,,,,未触发,0,#DIV/0!,"121.508504,30.977665"
奉贤,金汇,大家·美颂,258,,34100,,,,,未触发,0,#DIV/0!,"121.662706,30.909721"
奉贤,金汇,禹洲天境·铂悦,289,10/22/2021,34100,,,,0.1,未触发,0,0,"121.505424,30.978973"
奉贤,金汇,禹洲天境·璞悦,64,,33800,,,,,未触发,0,#DIV/0!,"121.508504,30.977665"
奉贤,金汇,禹洲天境·雍锦府,302,,31900,,,,,未触发,0,#DIV/0!,"121.508504,30.977665"
宝山,杨行,大华公园荟,93,,53800,,,,0.12,触发,75.72,71.43333333,"121.439205,31.382685"
宝山,上大,大华朗香公园里,232,7/14/2021,57000,,,,0.11,触发,70.45,68.59090909,"121.405326,31.31953"
宝山,上大,大华朗香花园,106,,57600,,,,0.11,触发,70.01,68.19090909,"121.379086,31.320813"
宝山,杨行,四季都会绿龙北,344,,47600,,,,0.1,触发,66.8,66.8,"121.429076,31.391743"
